league_key,season,manager_id,player_name,keeper_cost,cost_source,confidence
gdfm,2026,team_1,Harold Fannin,11,2025_price_plus_10,high
gdfm,2026,team_1,Jahmyr Gibbs,31,2025_price_plus_10,high
gdfm,2026,team_1,Puka Nacua,31,explicit_2026_keeper,high
gdfm,2026,team_1,Rome Odunze,21,2025_price_plus_10,high
gdfm,2026,team_1,Saquon Barkley,81,2025_price_plus_10,high
gdfm,2026,team_1,Tetairoa McMillan,11,explicit_2026_keeper,high
gdfm,2026,team_10,DeVonta Smith,51,explicit_2026_keeper,high
gdfm,2026,team_10,Emeka Egbuka,11,explicit_2026_keeper,high
gdfm,2026,team_10,Justin Jefferson,61,explicit_2026_keeper,high
gdfm,2026,team_10,Ladd McConkey,21,explicit_2026_keeper,high
gdfm,2026,team_10,RJ Harvey,11,explicit_2026_keeper,high
gdfm,2026,team_10,Rhamondre Stevenson,30,explicit_2026_keeper,high
gdfm,2026,team_11,Bucky Irving,21,explicit_2026_keeper,high
gdfm,2026,team_11,Cam Skattebo,11,explicit_2026_keeper,high
gdfm,2026,team_11,Javonte Williams,44,explicit_2026_keeper,high
gdfm,2026,team_11,Jaxson Dart,11,2025_price_plus_10,high
gdfm,2026,team_11,Malik Nabers,21,2025_price_plus_10,high
gdfm,2026,team_11,Romeo Doubs,34,explicit_2026_keeper,high
gdfm,2026,team_12,Brian Thomas,21,explicit_2026_keeper,high
gdfm,2026,team_12,Chuba Hubbard,37,explicit_2026_keeper,high
gdfm,2026,team_12,KC Concepcion,10,pickup_or_new_player_default,low
gdfm,2026,team_12,Quentin Johnston,12,2025_price_plus_10,high
gdfm,2026,team_12,Tony Pollard,40,explicit_2026_keeper,high
gdfm,2026,team_12,Zay Flowers,31,explicit_2026_keeper,high
gdfm,2026,team_2,Drake London,41,explicit_2026_keeper,high
gdfm,2026,team_2,Jaylen Waddle,51,explicit_2026_keeper,high
gdfm,2026,team_2,Quinshon Judkins,11,explicit_2026_keeper,high
gdfm,2026,team_2,Rashee Rice,31,explicit_2026_keeper,high
gdfm,2026,team_2,Tee Higgins,61,explicit_2026_keeper,high
gdfm,2026,team_2,Zach Charbonnet,31,explicit_2026_keeper,high
gdfm,2026,team_3,Bijan Robinson,41,explicit_2026_keeper,high
gdfm,2026,team_3,Chris Olave,41,explicit_2026_keeper,high
gdfm,2026,team_3,Colston Loveland,11,explicit_2026_keeper,high
gdfm,2026,team_3,Jordan Addison,31,explicit_2026_keeper,high
gdfm,2026,team_3,Travis Etienne,41,2025_price_plus_10,high
gdfm,2026,team_3,TreVeyon Henderson,10,pickup_or_new_player_default,low
gdfm,2026,team_4,A.J. Brown,71,2025_price_plus_10,high
gdfm,2026,team_4,Bhayshul Tuten,11,explicit_2026_keeper,high
gdfm,2026,team_4,Christian McCaffrey,91,2025_price_plus_10,high
gdfm,2026,team_4,Christian Watson,11,explicit_2026_keeper,high
gdfm,2026,team_4,Kyren Williams,32,explicit_2026_keeper,high
gdfm,2026,team_4,Nico Collins,54,explicit_2026_keeper,high
gdfm,2026,team_5,Ashton Jeanty,11,explicit_2026_keeper,high
gdfm,2026,team_5,CeeDee Lamb,61,explicit_2026_keeper,high
gdfm,2026,team_5,De'Von Achane,31,explicit_2026_keeper,high
gdfm,2026,team_5,Ja'Marr Chase,51,2025_price_plus_10,high
gdfm,2026,team_5,Jonathan Taylor,61,explicit_2026_keeper,high
gdfm,2026,team_5,Trey McBride,31,explicit_2026_keeper,high
gdfm,2026,team_6,Chris Godwin,39,explicit_2026_keeper,high
gdfm,2026,team_6,George Pickens,41,explicit_2026_keeper,high
gdfm,2026,team_6,James Cook,41,explicit_2026_keeper,high
gdfm,2026,team_6,Josh Jacobs,71,explicit_2026_keeper,high
gdfm,2026,team_6,Travis Hunter,11,explicit_2026_keeper,high
gdfm,2026,team_6,Tyrone Tracy,27,2025_price_plus_10,high
gdfm,2026,team_7,Braelon Allen,21,2025_price_plus_10,high
gdfm,2026,team_7,Breece Hall,41,2025_price_plus_10,high
gdfm,2026,team_7,Luther Burden,10,pickup_or_new_player_default,low
gdfm,2026,team_7,Matthew Golden,10,pickup_or_new_player_default,low
gdfm,2026,team_7,Matthew Stafford,11,2025_price_plus_10,high
gdfm,2026,team_7,Tyler Warren,10,pickup_or_new_player_default,low
gdfm,2026,team_8,Amon-Ra St. Brown,51,explicit_2026_keeper,high
gdfm,2026,team_8,Chase Brown,40,explicit_2026_keeper,high
gdfm,2026,team_8,Jaxon Smith-Njigba,31,explicit_2026_keeper,high
gdfm,2026,team_8,Kenneth Walker,41,explicit_2026_keeper,high
gdfm,2026,team_8,Michael Wilson,11,2025_price_plus_10,high
gdfm,2026,team_8,Parker Washington,11,explicit_2026_keeper,high
gdfm,2026,team_9,Alec Pierce,11,explicit_2026_keeper,high
gdfm,2026,team_9,Brock Bowers,21,2025_price_plus_10,high
gdfm,2026,team_9,DJ Moore,61,2025_price_plus_10,high
gdfm,2026,team_9,Kyle Monangai,12,2025_price_plus_10,high
gdfm,2026,team_9,Omarion Hampton,11,explicit_2026_keeper,high
gdfm,2026,team_9,Tucker Kraft,13,2025_price_plus_10,high
