league_key,season,manager_id,sleeper_user_id,base_budget,keeper_spend,open_auction_budget,open_roster_spots,notes,source_row
bishop_sycamore,2025,Bishop_Zach,,,,,12,,2
bishop_sycamore,2025,Bishop_Troy,,,,,12,,3
bishop_sycamore,2025,Bishop_Pete,,,,,12,,4
bishop_sycamore,2025,Bishop_Brandon,,,,,12,,5
bishop_sycamore,2025,Bishop_Derek,,,,,12,,6
bishop_sycamore,2025,Bishop_Cosey,,,,,12,,7
bishop_sycamore,2025,Bishop_Fritz,,,,,12,,8
bishop_sycamore,2025,Bishop_Nobs,,,,,12,,9
bishop_sycamore,2025,Bishop_Ernest,,,,,12,,10
bishop_sycamore,2025,Bishop_Ryan,,,,,12,,11
bishop_sycamore,2025,Bishop_Seth,,,,,12,,12
bishop_sycamore,2025,Bishop_Jaylen,,,,,12,,13
bishop_sycamore,2024,Bishop_Zach,,,,,12,,14
bishop_sycamore,2024,Bishop_Troy,,,,,12,,15
bishop_sycamore,2024,Bishop_Pete,,,,,12,,16
bishop_sycamore,2024,Bishop_Brandon,,,,,12,,17
bishop_sycamore,2024,Bishop_Derek,,,,,12,,18
bishop_sycamore,2024,Bishop_Cosey,,,,,12,,19
bishop_sycamore,2024,Bishop_Fritz,,,,,12,,20
bishop_sycamore,2024,Bishop_Nobs,,,,,12,,21
bishop_sycamore,2024,Bishop_Ernest,,,,,12,,22
bishop_sycamore,2024,Bishop_Ryan,,,,,12,,23
bishop_sycamore,2024,Bishop_Seth,,,,,12,,24
bishop_sycamore,2024,Bishop_Jaylen,,,,,12,,25
bishop_sycamore,2023,Bishop_Zach,,,,,12,,26
bishop_sycamore,2023,Bishop_Troy,,,,,12,,27
bishop_sycamore,2023,Bishop_Pete,,,,,12,,28
bishop_sycamore,2023,Bishop_Brandon,,,,,12,,29
bishop_sycamore,2023,Bishop_Derek,,,,,12,,30
bishop_sycamore,2023,Bishop_Cosey,,,,,12,,31
bishop_sycamore,2023,Bishop_Fritz,,,,,12,,32
bishop_sycamore,2023,Bishop_Redden,,,,,12,,33
bishop_sycamore,2023,Bishop_Ernest,,,,,12,,34
bishop_sycamore,2023,Bishop_Ryan,,,,,12,,35
bishop_sycamore,2023,Bishop_Seth,,,,,12,,36
bishop_sycamore,2023,Bishop_Jaylen,,,,,12,,37
bishop_sycamore,2026,Bishop_Zach,,,,,12,,38
bishop_sycamore,2026,Bishop_Troy,,,,,12,,39
bishop_sycamore,2026,Bishop_Pete,,,,,12,,40
bishop_sycamore,2026,Bishop_Brandon,,,,,12,,41
bishop_sycamore,2026,Bishop_Derek,,,,,12,,42
bishop_sycamore,2026,Bishop_Cosey,,,,,12,,43
bishop_sycamore,2026,Bishop_Fritz,,,,,12,,44
bishop_sycamore,2026,Bishop_Nobs,,,,,12,,45
bishop_sycamore,2026,Bishop_Ernest,,,,,12,,46
bishop_sycamore,2026,Bishop_Ted,,,,,12,,47
bishop_sycamore,2026,Bishop_Seth,,,,,12,,48
bishop_sycamore,2026,Bishop_Jaylen,,,,,12,,49
