league_key,season,draft_id,overall_order,nomination_number,player_name,sleeper_player_id,position,winning_roster_id,winning_manager_id,winning_manager_name,winning_price,record_type,modeled_market_value,app_do_not_exceed,notes,source_row
bishop_sycamore,2025,1256493132464260096,71,71,DJ Moore,4983,WR,5,Bishop_Zach,Tally,57,auction_sale,,,,72
bishop_sycamore,2025,1256493132464260096,72,72,David Montgomery,5892,RB,9,Bishop_Pete,LIGMA,63,auction_sale,,,,73
bishop_sycamore,2025,1256493132464260096,73,73,Jalen Hurts,6904,QB,9,Bishop_Pete,LIGMA,36,auction_sale,,,,74
bishop_sycamore,2025,1256493132464260096,74,74,Joe Burrow,6770,QB,10,Bishop_Brandon,Lol Fuck This Sport,69,auction_sale,,,,75
bishop_sycamore,2025,1256493132464260096,75,75,Terry McLaurin,5927,WR,1,Bishop_Derek,Super Ja’MARRio Bros,105,auction_sale,,,,76
bishop_sycamore,2025,1256493132464260096,76,76,Brian Robinson,8154,RB,2,Bishop_Troy,Redneck cop,27,auction_sale,,,,77
bishop_sycamore,2025,1256493132464260096,77,77,RJ Harvey,12489,RB,10,Bishop_Brandon,Lol Fuck This Sport,76,auction_sale,,,,78
bishop_sycamore,2025,1256493132464260096,78,78,DK Metcalf,5846,WR,5,Bishop_Zach,Tally,75,auction_sale,,,,79
bishop_sycamore,2025,1256493132464260096,79,79,Cooper Kupp,4039,WR,9,Bishop_Pete,LIGMA,40,auction_sale,,,,80
bishop_sycamore,2025,1256493132464260096,80,80,D'Andre Swift,6790,RB,5,Bishop_Zach,Tally,82,auction_sale,,,,81
bishop_sycamore,2025,1256493132464260096,81,81,Travis Kelce,1466,TE,12,Bishop_Cosey,Jcoz15,20,auction_sale,,,,82
bishop_sycamore,2025,1256493132464260096,82,82,Travis Hunter,12530,WR,9,Bishop_Pete,LIGMA,1,auction_sale,,,,83
bishop_sycamore,2025,1256493132464260096,83,83,Ashton Jeanty,12527,RB,1,Bishop_Derek,Super Ja’MARRio Bros,1,auction_sale,,,,84
bishop_sycamore,2025,1256493132464260096,84,84,Tyler Warren,12518,TE,2,Bishop_Troy,Redneck cop,1,auction_sale,,,,85
bishop_sycamore,2025,1256493132464260096,85,85,Kaleb Johnson,12504,RB,2,Bishop_Troy,Redneck cop,1,auction_sale,,,,86
bishop_sycamore,2025,1256493132464260096,86,86,TreVeyon Henderson,12529,RB,3,Bishop_Fritz,Time to Throw a Dart-y,1,auction_sale,,,,87
bishop_sycamore,2025,1256493132464260096,87,87,Matthew Golden,12501,WR,3,Bishop_Fritz,Time to Throw a Dart-y,1,auction_sale,,,,88
bishop_sycamore,2025,1256493132464260096,88,88,Omarion Hampton,12507,RB,4,Bishop_Seth,Protostars,1,auction_sale,,,,89
bishop_sycamore,2025,1256493132464260096,89,89,Emeka Egbuka,12514,WR,4,Bishop_Seth,Protostars,1,auction_sale,,,,90
bishop_sycamore,2025,1256493132464260096,90,90,Mark Andrews,5012,TE,12,Bishop_Cosey,Jcoz15,25,auction_sale,,,,91
bishop_sycamore,2025,1256493132464260096,91,91,Courtland Sutton,5045,WR,3,Bishop_Fritz,Time to Throw a Dart-y,66,auction_sale,,,,92
bishop_sycamore,2025,1256493132464260096,92,92,Stefon Diggs,2449,WR,10,Bishop_Brandon,Lol Fuck This Sport,51,auction_sale,,,,93
bishop_sycamore,2025,1256493132464260096,93,93,Patrick Mahomes,4046,QB,5,Bishop_Zach,Tally,26,auction_sale,,,,94
bishop_sycamore,2025,1256493132464260096,94,94,Jerry Jeudy,6783,WR,10,Bishop_Brandon,Lol Fuck This Sport,53,auction_sale,,,,95
bishop_sycamore,2025,1256493132464260096,95,95,Jordan Mason,8408,RB,6,Bishop_Jaylen,The Fighting Jaylen’s,41,auction_sale,,,,96
bishop_sycamore,2025,1256493132464260096,96,96,Deebo Samuel,5872,WR,12,Bishop_Cosey,Jcoz15,60,auction_sale,,,,97
bishop_sycamore,2025,1256493132464260096,97,97,Dak Prescott,3294,QB,1,Bishop_Derek,Super Ja’MARRio Bros,20,auction_sale,,,,98
bishop_sycamore,2025,1256493132464260096,98,98,Keon Coleman,11637,WR,2,Bishop_Troy,Redneck cop,41,auction_sale,,,,99
bishop_sycamore,2025,1256493132464260096,99,99,Javonte Williams,7588,RB,2,Bishop_Troy,Redneck cop,40,auction_sale,,,,100
bishop_sycamore,2025,1256493132464260096,100,100,Jacory Croskey-Merritt,12533,RB,11,Bishop_Nobs,Likely Baked,56,auction_sale,,,,101
bishop_sycamore,2025,1256493132464260096,101,101,David Njoku,4033,TE,1,Bishop_Derek,Super Ja’MARRio Bros,17,auction_sale,,,,102
bishop_sycamore,2025,1256493132464260096,102,102,Tetairoa McMillan,12526,WR,5,Bishop_Zach,Tally,1,auction_sale,,,,103
bishop_sycamore,2025,1256493132464260096,103,103,Jordan Love,6804,QB,3,Bishop_Fritz,Time to Throw a Dart-y,1,auction_sale,,,,104
bishop_sycamore,2025,1256493132464260096,104,104,Drake Maye,11564,QB,10,Bishop_Brandon,Lol Fuck This Sport,8,auction_sale,,,,105
bishop_sycamore,2025,1256493132464260096,105,105,Bo Nix,11563,QB,7,Bishop_Ernest,No knees and a dream,22,auction_sale,,,,106
bishop_sycamore,2025,1256493132464260096,106,106,J.K. Dobbins,6806,RB,12,Bishop_Cosey,Jcoz15,50,auction_sale,,,,107
bishop_sycamore,2025,1256493132464260096,107,107,C.J. Stroud,9758,QB,7,Bishop_Ernest,No knees and a dream,16,auction_sale,,,,108
bishop_sycamore,2025,1256493132464260096,108,108,Tank Bigsby,9225,RB,1,Bishop_Derek,Super Ja’MARRio Bros,34,auction_sale,,,,109
bishop_sycamore,2025,1256493132464260096,109,109,Jerome Ford,8143,RB,7,Bishop_Ernest,No knees and a dream,28,auction_sale,,,,110
bishop_sycamore,2025,1256493132464260096,110,110,Evan Engram,4066,TE,4,Bishop_Seth,Protostars,41,auction_sale,,,,111
bishop_sycamore,2025,1256493132464260096,111,111,Tyrone Tracy,11655,RB,6,Bishop_Jaylen,The Fighting Jaylen’s,41,auction_sale,,,,112
bishop_sycamore,2025,1256493132464260096,112,112,Chris Godwin,4037,WR,7,Bishop_Ernest,No knees and a dream,19,auction_sale,,,,113
bishop_sycamore,2025,1256493132464260096,113,113,Calvin Ridley,4981,WR,4,Bishop_Seth,Protostars,67,auction_sale,,,,114
bishop_sycamore,2025,1256493132464260096,114,114,Kyle Pitts,7553,TE,1,Bishop_Derek,Super Ja’MARRio Bros,17,auction_sale,,,,115
bishop_sycamore,2025,1256493132464260096,115,115,Jauan Jennings,7049,WR,1,Bishop_Derek,Super Ja’MARRio Bros,17,auction_sale,,,,116
