league_key,season,manager_id,manager_name,sleeper_user_id,alias_1,alias_2,source_row
bishop_sycamore,2025,Bishop_Zach,Zach,862919583177255936,zeke11111,Tally,2
bishop_sycamore,2025,Bishop_Troy,Troy,474060555842220032,treezylecreezy,Redneck cop,3
bishop_sycamore,2025,Bishop_Pete,Pete,991791313777479040,itspete17,LIGMA,4
bishop_sycamore,2025,Bishop_Brandon,Brandon,992630219074822016,whitetrashtank,Lol Fuck This Sport,5
bishop_sycamore,2025,Bishop_Derek,Derek,328329280712880000,dmicka2014,Super Ja’MARRio Bros,6
bishop_sycamore,2025,Bishop_Cosey,Cosey,992952680895094016,jcoz15,jcoz15,7
bishop_sycamore,2025,Bishop_Fritz,Fritz,678503525331869056,fritz314,Time to Throw a Dart-y,8
bishop_sycamore,2025,Bishop_Nobs,Nobs,1121608486472739968,nobz24,likely baked,9
bishop_sycamore,2025,Bishop_Ernest,Ernest,902751419189809024,econcialdi,no knees and a dream,10
bishop_sycamore,2025,Bishop_Ryan,Ryan,991769334974386048,mrhyde02,mrhyde02,11
bishop_sycamore,2025,Bishop_Seth,Seth,725009595797437952,bugsymeyer,protostars,12
bishop_sycamore,2025,Bishop_Jaylen,Jaylen,902751381294370048,jaylenh22,The Fighting Jaylen’s,13
bishop_sycamore,2024,Bishop_Zach,Zach,862919583177255936,zeke11111,,14
bishop_sycamore,2024,Bishop_Troy,Troy,474060555842220032,treezylecreezy,,15
bishop_sycamore,2024,Bishop_Pete,Pete,991791313777479040,itspete17,,16
bishop_sycamore,2024,Bishop_Brandon,Brandon,992630219074822016,whitetrashtank,,17
bishop_sycamore,2024,Bishop_Derek,Derek,328329280712880000,dmicka2014,,18
bishop_sycamore,2024,Bishop_Cosey,Cosey,992952680895094016,jcoz15,,19
bishop_sycamore,2024,Bishop_Fritz,Fritz,678503525331869056,fritz314,,20
bishop_sycamore,2024,Bishop_Nobs,Nobs,1121608486472739968,nobz24,,21
bishop_sycamore,2024,Bishop_Ernest,Ernest,902751419189809024,econcialdi,,22
bishop_sycamore,2024,Bishop_Ryan,Ryan,991769334974386048,mrhyde02,,23
bishop_sycamore,2024,Bishop_Seth,Seth,725009595797437952,bugsymeyer,,24
bishop_sycamore,2024,Bishop_Jaylen,Jaylen,902751381294370048,jaylenh22,Bills in the 90’s,25
bishop_sycamore,2023,Bishop_Zach,Zach,862919583177255936,zeke11111,,26
bishop_sycamore,2023,Bishop_Troy,Troy,474060555842220032,treezylecreezy,,27
bishop_sycamore,2023,Bishop_Pete,Pete,991791313777479040,itspete17,,28
bishop_sycamore,2023,Bishop_Brandon,Brandon,992630219074822016,whitetrashtank,,29
bishop_sycamore,2023,Bishop_Derek,Derek,328329280712880000,dmicka2014,,30
bishop_sycamore,2023,Bishop_Cosey,Cosey,992952680895094016,jcoz15,,31
bishop_sycamore,2023,Bishop_Fritz,Fritz,678503525331869056,fritz314,,32
bishop_sycamore,2023,Bishop_Redden,Redden,992915886296083968,redden,,33
bishop_sycamore,2023,Bishop_Ernest,Ernest,902751419189809024,econcialdi,,34
bishop_sycamore,2023,Bishop_Ryan,Ryan,991769334974386048,mrhyde02,,35
bishop_sycamore,2023,Bishop_Seth,Seth,725009595797437952,bugsymeyer,,36
bishop_sycamore,2023,Bishop_Jaylen,Jaylen,902751381294370048,jaylenh22,,37
bishop_sycamore,2026,Bishop_Zach,Zach,862919583177255936,zeke11111,,38
bishop_sycamore,2026,Bishop_Troy,Troy,474060555842220032,treezylecreezy,,39
bishop_sycamore,2026,Bishop_Pete,Pete,991791313777479040,itspete17,,40
bishop_sycamore,2026,Bishop_Brandon,Brandon,992630219074822016,whitetrashtank,,41
bishop_sycamore,2026,Bishop_Derek,Derek,328329280712880000,dmicka2014,,42
bishop_sycamore,2026,Bishop_Cosey,Cosey,992952680895094016,jcoz15,,43
bishop_sycamore,2026,Bishop_Fritz,Fritz,678503525331869056,fritz314,,44
bishop_sycamore,2026,Bishop_Nobs,Nobs,1121608486472739968,nobz24,,45
bishop_sycamore,2026,Bishop_Ernest,Ernest,902751419189809024,econcialdi,,46
bishop_sycamore,2026,Bishop_Ted,Ted,,redbavarian,,47
bishop_sycamore,2026,Bishop_Seth,Seth,725009595797437952,bugsymeyer,,48
bishop_sycamore,2026,Bishop_Jaylen,Jaylen,902751381294370048,jaylenh22,,49
gdfm,2026,,Brandon C.,,,,50
gdfm,2026,,Jaylen H.,,,,51
gdfm,2026,,Troy L.,,,,52
gdfm,2026,,Ryan M.,,,,53
gdfm,2026,,Stephen M.,,,,54
gdfm,2026,,Justin M.,,,,55
gdfm,2026,,Mike S.,,,,56
gdfm,2026,,Steve S.,,,,57
gdfm,2026,,Allen S.,,,,58
gdfm,2026,,Mike C.,,,,59
gdfm,2026,,Tara C.,,,,60
gdfm,2026,,Ernest C.,,,,61
